"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
174478040,"New Haven County",2.13,183,1995,1638,NA,0,5
57969088,"New Haven County",2.13,184,1900,1604,NA,0,5
58098259,"Tolland County",2.06,184,1974,1638,NA,0,1
62547095,"New London County",1.66,184,1986,1596,NA,0,10
124140343,"New Haven County",2.13,186,1975,1596,NA,0,7
57336178,"Fairfield County",1.69,187,1959,1649,NA,0,4
57710827,"Hartford County",2.16,187,1984,1596,NA,0,8
58088003,"New London County",1.66,187,1960,1680,NA,0,8
59044654,"Hartford County",2.16,187,1975,1596,NA,0,9
207191917,"Tolland County",2.06,187,1976,1617,NA,0,14
2080645442,"Fairfield County",1.69,187,2006,1638,338,0,7
57269683,"Fairfield County",1.69,188,1962,1639,NA,0,3
57778234,"Hartford County",2.16,188,1957,1672,NA,0,10
58024778,"New Haven County",2.13,188,1939,1638,NA,0,19
58067621,"New London County",1.66,188,1988,1617,NA,0,9
58088751,"New London County",1.66,188,1958,1617,NA,0,12
60003063,"Hartford County",2.16,188,1961,1638,NA,0,9
68575097,"Fairfield County",1.69,188,2007,1638,NA,0,3
2056891642,"Fairfield County",1.69,188,2004,1596,335,0,0
57240144,"Fairfield County",1.69,189,1999,1646,NA,0,52
58032028,"New Haven County",2.13,189,1951,1638,NA,1,7
2056903967,"Fairfield County",1.69,189,1962,1639,NA,0,1
2079499941,"Litchfield County",1.78,189,1969,1617,NA,0,11
57355128,"Fairfield County",1.69,190,1985,1596,285,0,1
59058544,"Hartford County",2.16,190,1964,1680,NA,0,5
174060855,"Hartford County",2.16,190,1987,1638,NA,0,7
174241841,"Hartford County",2.16,190,1965,1617,NA,0,3
58025695,"New Haven County",2.13,191,1955,1659,NA,0,7
58858311,"Litchfield County",1.78,191,1958,1596,NA,0,13
59006278,"Windham County",1.69,191,1921,1617,NA,0,5
123859343,"Hartford County",2.16,191,2015,1601,NA,0,0
174078499,"Hartford County",2.16,191,1938,1638,NA,0,4
2094511989,"Fairfield County",1.69,191,1985,1596,306,0,9
2097679280,"Hartford County",2.16,191,1987,1638,400,0,4
57695617,"Hartford County",2.16,194,1984,1617,NA,0,7
57788274,"Hartford County",2.16,194,1939,1680,NA,0,8
59047886,"Hartford County",2.16,194,1965,1638,NA,0,8
174075926,"Hartford County",2.16,194,1998,1596,13,1,32
174210386,"Hartford County",2.16,194,1956,1659,NA,0,3
174307855,"New Haven County",2.13,194,1970,1596,486,0,10
57407786,"Fairfield County",1.69,195,1923,1638,NA,0,21
57788005,"Hartford County",2.16,195,1949,1646,NA,0,8
57922350,"New Haven County",2.13,195,1992,1659,NA,0,8
58064243,"New London County",1.66,195,1999,1659,NA,0,14
58861687,"Litchfield County",1.78,195,1982,1680,NA,0,8
59017225,"Hartford County",2.16,195,1963,1617,NA,0,2
59061247,"Hartford County",2.16,195,1965,1667,NA,0,10
83155099,"Fairfield County",1.69,195,1958,1604,NA,0,1
124139122,"Windham County",1.69,195,2023,1617,NA,0,3
174429053,"New Haven County",2.13,195,1981,1617,NA,0,11
57853560,"Middlesex County",1.9,196,1967,1649,NA,0,14
57902216,"New Haven County",2.13,196,1969,1680,NA,1,9
58033384,"New Haven County",2.13,196,1930,1646,NA,0,2
58864337,"Litchfield County",1.78,196,1986,1617,NA,0,16
174070258,"Hartford County",2.16,196,1953,1668,NA,1,20
57974502,"New Haven County",2.13,197,1998,1596,NA,0,27
57992070,"New Haven County",2.13,197,1985,1638,NA,0,13
58044740,"New London County",1.66,197,1930,1596,NA,0,5
59973212,"New London County",1.66,197,1973,1638,NA,0,8
174445976,"New Haven County",2.13,197,1961,1659,NA,0,4
2074804812,"Hartford County",2.16,197,2010,1596,422,0,4
58124633,"Windham County",1.69,198,1790,1676,NA,1,13
58847611,"Middlesex County",1.9,198,1940,1596,NA,0,0
62547991,"New London County",1.66,198,1975,1596,NA,0,7
302352144,"Middlesex County",1.9,198,1806,1638,NA,0,3
2056142029,"Fairfield County",1.69,198,1988,1617,495,0,16
2059075500,"New Haven County",2.13,198,2023,1651,145,0,4
58142887,"Hartford County",2.16,199,1984,1617,NA,0,7
174435318,"New Haven County",2.13,202,1920,1638,NA,0,5
57355137,"Fairfield County",1.69,203,1985,1638,NA,0,1
57927017,"New Haven County",2.13,203,1967,1638,NA,0,7
58973870,"New London County",1.66,203,1925,1617,NA,0,16
174158739,"Hartford County",2.16,203,1995,1596,NA,0,10
2054879224,"Middlesex County",1.9,203,1964,1596,NA,0,2
2059075502,"New Haven County",2.13,203,2023,1633,145,0,1
57846413,"Middlesex County",1.9,204,1806,1638,NA,0,3
58775644,"Fairfield County",1.69,204,1962,1596,NA,0,4
59024232,"Hartford County",2.16,204,1959,1596,NA,0,8
61990622,"Litchfield County",1.78,204,1986,1596,NA,1,18
62543025,"Hartford County",2.16,204,1971,1617,NA,0,8
72567590,"Windham County",1.69,204,2005,1657,NA,0,8
174074226,"Hartford County",2.16,204,1966,1638,NA,0,21
2055078223,"Fairfield County",1.69,204,1978,1676,400,0,4
57262445,"Fairfield County",1.69,205,1964,1676,NA,0,10
57909381,"New Haven County",2.13,205,1932,1596,NA,1,15
58006498,"New Haven County",2.13,205,1990,1596,NA,0,2
58122587,"Windham County",1.69,205,1992,1659,NA,1,11
58995559,"Tolland County",2.06,205,1968,1596,NA,0,5
82598020,"New Haven County",2.13,205,2007,1596,NA,0,16
123862897,"Hartford County",2.16,205,1953,1617,NA,0,7
174445869,"New Haven County",2.13,205,1978,1596,NA,0,5
57282295,"Fairfield County",1.69,208,1966,1680,NA,0,1
57356737,"Fairfield County",1.69,208,1986,1596,NA,0,0
57390173,"Fairfield County",1.69,208,1937,1596,NA,0,16
57854668,"Middlesex County",1.9,208,1974,1617,NA,0,12
58103973,"Tolland County",2.06,208,1723,1638,NA,0,7
58109935,"Windham County",1.69,208,1952,1621,NA,0,2
58863863,"Litchfield County",1.78,208,1850,1602,NA,0,15
58947527,"New Haven County",2.13,208,1974,1638,NA,0,7
174100548,"Hartford County",2.16,208,1953,1659,NA,0,9
174321596,"New Haven County",2.13,208,1995,1604,375,0,5
174428771,"New Haven County",2.13,208,2001,1596,NA,0,1
2057031323,"Fairfield County",1.69,208,1985,1638,306,0,4
2063614656,"Fairfield County",1.69,208,1988,1674,471,0,6
57872974,"Middlesex County",1.9,209,1930,1659,NA,0,15
57920431,"New Haven County",2.13,209,1958,1596,NA,0,3
58897873,"New Haven County",2.13,209,1974,1596,NA,0,9
58917817,"New Haven County",2.13,209,1983,1638,NA,0,4
68544593,"New Haven County",2.13,209,1940,1621,NA,0,25
174077956,"Hartford County",2.16,209,1994,1596,13,1,13
177314512,"Fairfield County",1.69,209,1957,1617,NA,0,12
2056896246,"Fairfield County",1.69,209,1986,1596,378,0,0
57402427,"Fairfield County",1.69,93,1955,2835,NA,2,149
57953172,"New Haven County",2.13,210,1960,1617,NA,0,24
58982666,"New London County",1.66,210,1978,1676,NA,0,5
59038271,"Hartford County",2.16,210,1960,1651,NA,0,19
174431271,"New Haven County",2.13,210,1965,1617,NA,0,22
177130155,"Fairfield County",1.69,210,1890,1638,NA,0,1
197791397,"Litchfield County",1.78,210,1848,1659,NA,0,6
57937120,"New Haven County",2.13,211,1991,1596,NA,0,2
58143417,"Hartford County",2.16,211,2001,1680,NA,0,5
58915196,"New Haven County",2.13,211,1956,1638,NA,0,6
82405931,"Fairfield County",1.69,211,1966,1676,NA,0,5
174464060,"New Haven County",2.13,211,1967,1638,NA,0,0
57711186,"Hartford County",2.16,212,1995,1596,NA,0,12
57778190,"Hartford County",2.16,212,1956,1596,NA,0,7
57995035,"New Haven County",2.13,212,1983,1638,287,0,5
58090611,"New London County",1.66,212,1955,1638,NA,0,6
58108792,"Windham County",1.69,33,1900,1638,NA,265,3053
58971240,"New London County",1.66,212,1938,1617,NA,0,7
61995311,"New London County",1.66,212,1963,1625,NA,0,7
197796463,"Litchfield County",1.78,212,2007,1613,NA,0,3
207195487,"Tolland County",2.06,212,1970,1613,NA,0,12
57953166,"New Haven County",2.13,214,1960,1617,NA,0,4
57856181,"Middlesex County",1.9,215,2000,1617,NA,0,3
57916526,"New Haven County",2.13,215,1996,1638,NA,0,11
69055429,"Hartford County",2.16,215,2005,1649,370,0,7
82596487,"Tolland County",2.06,215,1955,1638,NA,1,7
57711129,"Hartford County",2.16,216,1966,1596,NA,0,19
57776639,"Hartford County",2.16,216,1924,1596,NA,0,8
57855922,"Middlesex County",1.9,216,1989,1638,NA,0,3
57970294,"New Haven County",2.13,216,1905,1617,NA,0,5
58069965,"New London County",1.66,216,1840,1651,NA,0,15
59044718,"Hartford County",2.16,216,1967,1596,NA,0,8
157577896,"New London County",1.66,216,2023,1617,NA,0,13
2101304428,"Hartford County",2.16,216,2015,1601,235,0,2
57926137,"New Haven County",2.13,217,1948,1617,NA,0,6
58834498,"Fairfield County",1.69,218,1957,1638,NA,0,13
57356825,"Fairfield County",1.69,219,1989,1596,NA,0,2
57397409,"Fairfield County",1.69,219,1974,1604,NA,0,0
57785336,"Hartford County",2.16,219,1955,1659,NA,0,16
57805971,"Litchfield County",1.78,219,1945,1617,NA,0,11
58773882,"Fairfield County",1.69,219,1942,1596,NA,0,16
57773735,"Hartford County",2.16,222,1986,1617,NA,0,9
57993843,"New Haven County",2.13,222,1971,1596,765,0,1
58065593,"New London County",1.66,222,1950,1596,NA,0,7
59075115,"Hartford County",2.16,222,1976,1604,NA,0,12
59280061,"Hartford County",2.16,222,1960,1646,NA,1,13
174365777,"New Haven County",2.13,222,1949,1621,NA,0,26
2055821077,"Fairfield County",1.69,222,1989,1596,430,0,0
2055931498,"Fairfield County",1.69,222,1974,1604,516,0,0
57254281,"Fairfield County",1.69,223,1960,1680,NA,0,10
57323768,"Fairfield County",1.69,223,1984,1638,276,0,6
57708420,"Hartford County",2.16,223,1995,1638,NA,0,12
58143348,"Hartford County",2.16,223,1985,1609,NA,0,15
67156855,"New Haven County",2.13,223,2003,1659,NA,0,4
